Authors,Date,Meteorological,Normal Temperature,Maximum Temperature,Average Temperature,Minimum Temperature,Relative Humidity,Absolute Humidity,Atmospheric Pressure,Evaporation,Dew Point,Wind Speed,Precipitation,UV Light,Socioeconomic ,Racial Inequality,Gender Inequality,,Residence Pattern,GDP per Capita,Population,Income Inequality,Human activity,Human Mobility,Air Pollution,Built Environment,Health,Comorbidity,Healthcare Capacity,Non-pharmaceutical Intervention,Health Inequality,Age,Gender Difference,AIR POLLUTION,Pollutant Standard Index,CO2,Air Quality Index,N2O
Abdel-Aal et al.,2021,,,,PT,,,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmad et al.,2020,,,,,,,,,,,,,,,,,,PT,,,,,,,PT,,,,,,,,,,,,
Ahmadi et al.,2020,,,,I,,,,,,,NT,I,NT,,,,,,,PC,,,,,,,,,,,,,,,,,
Aidoo et al.,2021,,,NT,PT,,NC,,PT,,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen & Ibrahim,2021,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,,,,,
Anil and Alagha,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,
Askitas et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNT,,,,,,,,
Auler et al.,2020,,,,PT,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babuna et al.,2021,,,,NT,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker et al.,2020,,,,PT,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baniasad et al.,2021,,,,,,,,,,,,,,,,,,,,,,,PT,,,,,,NC,,,,,PM,,,
Bashir et al.,2020,,,,SPTM,SPC,,,,,,,NT,,,,,,,,,,,,,,,,,,,,,,PC,,SNCM,
Bassett et al.,2020,,,,,,,,,,,,,,,PM,,,,,,,,,,,,,,,,,,,,,,
Bherwani et al.,2020,,,,NT,,WPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowe et al.,2021,,,,,,,,,,,,,,,PC,,,,,,,,,,PC,,,,,,,,,PC,,,
Brauner et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNT,,,,,,,,
Briz-Redón & Serrano-Aroca,2020,,,,NT,,WNT,,,,,,WPT,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan et al.,2021,,,,,,,,,,,,,,,PM,,,PM,,,,,,,,,,,,PM,,,,,,,
Bu et al.,2020,,,,PT,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bukhari et al.,2020,,,NC,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton et al.,2021,,,,I,,I,,,,,,,SNC,,,,,,,,,,,,,,,,,,,,,,,,
Chakraborti et al.,2021,,,,,,,,,,,,,,,,,,,WRCM,SPCM,,,PC,,,,SPCM,,,,,,,SPCM,SPCM,,PCM
Chaudhry et al.,2020,,,,,,,,,,,,,,,,,,,SNM,,PM,,,,,,PCM,NM,SNC,,PC,,,,,,
Chen et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,,,
Chinazzi et al.,2020,,,,,,,,,,,,,,,,,,,,,,,WPT,,,,,,,,,,,,,,
Christophi et al.,2021,,,,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark et al. ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,PM,,,,,,
Coker et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCM,,,
Cole et al. ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCM,,,
Correa-Araneda et al.,2021,,,,,NT,NT,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coşkun et al.,2021,,,,I,,I,,,,,SPT,I,I,,,,,,,SPT,,,,,,,,,,,,,,I,,,
Cox-Ganser & Henneberger,2021,,,,,,,,,,,,,,,PC,,,,,,,,,,PC,,,,,,,,,,,,
Dbouk and Drikakis,2020b,,,NC,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Du et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,PM,,,,,,
Duhon et al.,2021,,,,,,,,,,,,,,,,,,,,PC,PC,,,,,,PC,,I,,,,,SPT,,,
Eltoukhy et al. ,2020,,,,,,,,,,,,,,,,,,,,,,,SPC,,,,,,,,,,,,I,,
Emeruwa et al.,2020,,,,,,,,,,,,,,,,,,PT,,,,,,,PT,,,,,,,,,,,,
Endeshaw et al. ,2022,,,,I,SNC,SNC,,,,,SPT,PT,I,,,,,,,,,,,,,,,,,,,,,,,,
Esteve et al. ,2020,,,,,,,,,,,,,,,,,,PM,,,,,,,,,,,,,,,,,,,
Faruk et al.,2022,,,,PC,,PT,,,,,NC,,SNC,,,,,,,,,,,,,,,,,,,,,PC,,NC,
Fattorini & Rigoli,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPCT,,,
Feng et al.,2020,,,,PT,,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ficetola & Rubolini,2021,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,WPT,,,
Flaxman et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNT,,,,,,,,
Frontera et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,
Ge et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,
Grandjean et al. ,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,,,,,,,
Guan et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,,,,,,,
Guo et al.,2020,,,,SNC,,NC,,,,,WPC,,,,,,,,,,,,,,,,,,,,,,,,,,
Gupta et al.,2020,,,,PC,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gupta et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,
Hadjidemetriou et al.,2020,,,,,,,,,,,,,,,,,,,,,,,PM,,,,,,NT,,,,,,,,
Harvey et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,WRT ,,,,,,,,,,,,
Hong et al.,2021,,,,,,,,,,,,,,,PC,,,PC,,,,,,,PTM,,,,,PC,,,,,,,
Hossain et al.,2021,,,,SRT,,I,,I,,,SNT,SNT,,,,,,,,,,,,,,,,,,,,,,SNC,,,
Hridoy et al.,2021,,,,SPC,,SPC,,,,,SPC,SNC,,,,,,,,,,,,,,,,,,,,,,,,,
Hsiang et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNC,,,,,,,,
Iqbal et al. ,2020,,,,PCM,,,,,,,,,PT,,,,,,,,,,,,,,,,,,,,,,,,
Islam et al.,2020 a b,,,,PT,,PT,,,,,PT,,,,,,,,,,,,,,,,,,,,,,,PM,,,
Islam et al.,2021,,,,PC,,PCM,SPCT,,,,NCM,PC,,,,,,,,,,,,,,,,,,,,,,,,,
Jahangiri et al.,2020,,,,WRT,,,,,,,,,,,,,,,,PT,,,,,,,,,,,,,,,,,
Jamil et al.,2020,,,,I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamshidi et al.,2020,,,,I ,,,,,,,,,,,,,,,,PT,,,SPT,,,,,,,,,,,,,,
Jay et aL,2020,,,,,,,,,,,,,,,PC,,,,,,PCM,,,,,,,,,,,,,,,,
Kwok et al,2021,,,,,,,,,,,,,,,,,,PC,,,,,,,SPC,,,,,,,,,,,,
Lasisi & Eluwole,2021,,,PC,SPC,PC,,,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,
Leibowitz et al.,2021,,,,,,,,,,,,,,,,,,PT,,,,,,,,,,,,,,,,,,,
Andeko et al.,2021,,,,,,,,,,,,,,,,,,PT,,,,,,,PT,,,,,,,,,,,,
Lerner et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,
Li et al.,2021a,,,NT,,,,,,,,,,,,,PM,,PCM,,PC,PT,,PC,,,,NTM,NM,SNC,,NC ,,,,,,
Liang et al.,2020,,,,,,,,,,,,,,,,,,,NM,,,,,,TM,,,NM,,,PM,,,,,,
Lipsitt et al. ,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCM,,,
Liu et al.,2021b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,
Liu et al.,2020,,,,NT,PT,,SNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liu et al.,2021a,,,,SPTM,,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,,,
Loché Fernández-Ahúja & Fernández Martínez,2021,,,WPT,SPT,SPT,,,SNT,,,,I,I,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo et al.,2021,,,,SPC,,SNC,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,PC,,,
Lin et al.,2020,,,,,,SPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lulbadda et al.,2021,,,,SPT,,,,,,,,,,,,,,,I,SPT,,,,,,,,I,,,PC,,,,,,
Luo et al.,2020b,,,,,,,,,,,,,,,PM,,,,,,PM,,PM,,,,PM,NM,,,,,,PM,,,
Luo et al.,2020a,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,PM,,,,,,
Ma et al.,2020,,,,PM,,NM,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,SNM,,,
Ma et al.,2021,,,,SNT,,,SNT,,,,,,SNT,,,,,,,,,,,,,,,,,,,,,,,,
Magazzino et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,
Maiti et al.,2021,,,,,,,,,,,,,,,,,,,,,SPCM,,,,,,,,,,,,,,,,
Mecenas et al.,2020,,,,NT,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mele & Magazzino,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,PM,,
Méndez-Arriaga,2020,,,NCT,NCT,NCT,,,,,,,PCT,,,,,,,,,,,,,,,,,,,,,,,,,
Menebo,2020,,SPC,SPC,I,I,,,,,,I,SNC,,,,,,,,,,,,,,,,,,,,,,,,,
Merow & Urban,2020,,,,PC,,NC,,,,,,,SNT,,,,,,,,,,,,,,,,,,,,,,,,
Meyer et al.,2020,,,,SNC,,I,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,
Moozhipurath et al.,2020,,,,,PC,,,,,,,,SNTM,,,,,,,,,,,,,,,,,,,,,,,,
Muniyappa & Gubbi,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,SPM,,,,,,,,,,
Nottmeyer & Sera,2021,,,,SNT,,NM,NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogen,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,
Okeahalam et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,,,,,
Oliveiros et al.,2020,,,,NT,,PT,,,,,I,I,,,,,,,,,,,,,,,,,,,,,,,,,
Pahuja et al.,2021,,,,NC,,I,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan et al.,2021,,,,I,,I,,,,,I,,I,,,,,,,,,,,,,,,,,,,,,,,,
Paraskevis et al.,2021,,,,NT,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PT,,,
Peckham et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,,
Poirier et al.,2020,,,,NT,,WNT,,,,,,,,,,,,,,,,,WPT,,,,,,,,,,,,,,
Pozzer et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,,,
Prata et al.,2020,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qi et al.,2020,,,,NC,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qian et al.,2021,,,,,,,,,,,,,,,,,,PT,,,,,PT,,,,,,,,,,,,,,
Rader et al.,2020,,,,,,,,,,,,,,,,,,PT,,,,,PT,,PT,,,,,,,,,,,,
Rahman et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,PT,,,,NT,,PCM,,,,,,
Rendana,2020,,,,NC,,I,,,,,SPC,I,NC,,,,,,,,,,,,,,,,,,,,,,,,
Rocklöv and Sjödin ,2020,,,,,,,,,,,,,,,,,,,,PCM,,,,,,,,,,,,,,,,,
Runkle et al.,2020,,,,WPC,,,SPT,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,
Şahin,2020,,,,NC,,NC,,,,NC,PC,,,,,,,,,PC,,,,,,,,,,,,,,,,,
Sajadi et al.,2020,,,,PT,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salerno et al.,2020,,,,,,,,,,,,,,,,PT,,,,,,,,,,,,,,PT,,,,,,,
Saloner et al.,2020,,,,,,,,,,,,,,,,,,PT,,,,,,,,,,,,,,,,,,,
Sangkham et al.,2021,,,,PC,,PC,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,SNC,,,
Sarkodie & Owusu,2020,,,,SNCM,,NCM,,SPC,,PC,PC,PC,,,,,,,,,,,,,,,,,NT,,,,,,,,
Sarmadi et al.,2021,,,,,,,,,,,,,,,PM,,,,PC,PM,PCM,,,,,,PCM,,NT,PC,,,,PT,,,
Sarmadi et al.,2020,,,,NCM,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,,,,
Sattar et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,PCM,,,,,,,,,,
Sera et al.,2021,,,,NT,,,WNT,,,,I,I,,,,,,,,,,,,,,,,,NT,,,,,,,,
Setti et al.,2020a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PT,,,
Shakil et al.,2020,,,,,,NT,,,,,PT,PT,,,,,,,,,,,,,,,,,,,,,,PT,,,
Shao et al.,2021,,,,NT,,,,,,,,,,,,,,,,,,,PT,,,,,,,,,,,,,,
Sharma et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNT,,,,,,,,
Shi et al.,2020,,,,NT,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sobral et al.,2020,,,,NC,,,,,,,,PT ,,,,,,,,,,,,,,,,,,,,,,,,,
Stufano et al.,2021,,,,NC,,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,PC,,,
Su et al.,2020,,,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,
Tai et al.,2020,,,,,,,,,,,,,,,PC,,,,,,,,,,,,,,,PM,,,,,,,
Tobias et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NT,,,,,,,,
Torrats-Espinosa,2021,,,,,,,,,,,,,,,PCM,,,,,,,,,,,,,,,,,,,,,,
Tosepu et al.,2020,,,I,PT,I,I,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,
Travaglio et al.,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCM,,,
Tzampoglou & Loukidis,2020,,,,SNCM,,PT,,,,,,,,,,,,,,WPC,,,,,,,,,NT,,PM,,,,,,
Wang et al.,2020,,,NC,NC,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weaver et al.,2022,,,,NC,,NC,,,,,,,NC,,PCM,,,PT,,,PCM,,,,PT,,PCM,,,PCM,,,,PCM,,,
Wu et al.,2020b,,,,NCM,,SNCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu et al.,2021,,,PCT,PCT,PCT,PCT,,,,,,,,,,,,,PC,PCM,,,PT,,,,,,,,,,,,,,
Xie & Zhu,2020,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan et al.,2020,,,PC,NC,,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,
Zalla et al.,2021,,,,,,,,,,,,,,,PT,,,,,,,,,,,,,,,,,,,,,,
Zelner et al.,2021,,,,,,,,,,,,,,,PCM,,,,,,,,,,,,,,,,,,,,,,
Zhu et al.,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,
Zoran et al.,2020,,,,PC,,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,
